sample	min_cov	min_prop	bin	pass	bases	mean	11+	21+	31+	41+	51+	61+	71+	81+	91+	101+	111+	121+	131+	141+	151+
CDS2_Tumour_Cas9_WT_R1_DNA	20	80	51+	true	50337604	129.8372	99.2000	97.1400	93.3700	88.2500	82.3700	76.2200	70.0300	64	58.1800	52.6800	47.5500	42.8000	38.4300	34.4300	30.8100
CDS2_Tumour_Cas9_WT_R2_DNA	20	80	31+	true	50337604	99.5762	98.2500	93.3600	86.3800	78.6400	70.8000	63.1700	55.9200	49.1900	43.0600	37.5500	32.6500	28.3600	24.6600	21.4300	18.6300
CDS2_Tumour_Cas9_WT_R3_DNA	20	80	41+	true	50337604	122.1454	98.9900	96.2600	91.7200	86.0100	79.7100	73.2300	66.7900	60.5700	54.6800	49.1700	44.0500	39.3700	35.1100	31.2600	27.7900
CDS2_Tumour_Cas9_WT_R4_DNA	20	80	51+	true	50337604	137.9399	99.3200	97.6300	94.4000	89.8600	84.4800	78.6900	72.8000	66.9700	61.3400	55.9600	50.9000	46.1600	41.7700	37.7200	34
CDS2_Tumour_Non-treated_R1_DNA	20	80	31+	true	50337604	102.2773	98.1300	93.5300	87.0600	79.7900	72.2400	64.7900	57.6600	50.9800	44.8200	39.2500	34.2800	29.8700	25.9800	22.5900	19.6400
CDS2_Tumour_Non-treated_R2_DNA	20	80	61+	true	50337604	158.6459	99.1500	97.2700	94.1900	90.3100	85.9300	81.2500	76.4300	71.5900	66.7700	62.0400	57.4800	53.1200	48.9500	45.0100	41.3100
CDS2_Tumour_R1_DNA	20	80	41+	true	50337604	124.9448	98.8500	96.0100	91.3500	85.6400	79.4600	73.1300	66.8700	60.7900	55.0200	49.6300	44.6300	40.0100	35.8200	32.0100	28.5900
CDS2_Tumour_R2_DNA	20	80	51+	true	50337604	127.2617	98.8300	96.1400	91.7500	86.3000	80.3900	74.2600	68.1400	62.1600	56.4400	51.0400	46	41.3500	37.0700	33.1800	29.6500
CDS2_Tumour_Treated_R1_DNA	20	80	21+	true	50337604	79.5898	96.3800	87.2800	76.2900	65.5400	55.9100	47.5400	40.4000	34.3900	29.4100	25.2400	21.7600	18.8400	16.3800	14.2800	12.4800
CDS2_Tumour_Treated_R2_DNA	20	80	31+	true	50337604	97.0308	96.8300	89.5400	80.9300	72.3400	64.1400	56.6000	49.8200	43.8800	38.6700	34.1200	30.1600	26.7000	23.6800	21.0100	18.6800
CDS2_Tumour_Treated_R3_DNA	20	80	31+	true	50337604	111.6236	97.0600	91.7800	85.6100	79.0100	72.1800	65.3700	58.8400	52.7800	47.1900	42.1100	37.5500	33.4800	29.8300	26.5900	23.7100
CDS2_Tumour_Treated_R4_DNA	20	80	41+	true	50337604	115.8441	98.4900	94.3700	88.3100	81.4600	74.4000	67.4600	60.8400	54.6400	48.9300	43.7600	39.1000	34.9200	31.1700	27.8400	24.8800
SW837_C9_CDS2_gRNA_R1_DNA	20	80	51+	true	50337604	156.8388	98.1600	94.9400	91.3100	87.5300	83.5200	79.3100	74.9600	70.5000	66.0300	61.5900	57.2800	53.0800	49.0800	45.2900	41.7100
SW837_C9_CDS2_gRNA_R2_DNA	20	80	51+	true	50337604	158.8869	98.2800	95.1200	91.5200	87.7200	83.7300	79.5500	75.2200	70.7800	66.3200	61.8800	57.5600	53.4000	49.4000	45.6000	42
SW837_C9_CDS2_gRNA_R3_DNA	20	80	61+	true	50337604	148.4862	99.1500	97.6200	94.8200	90.9500	86.2800	81.1200	75.7200	70.2800	64.9800	59.8900	55.0500	50.4900	46.2200	42.2300	38.4900
SW837_C9_safe_gRNA_R1_DNA	20	80	51+	true	50337604	131.6142	99.0100	96.9800	93.3800	88.5200	82.9000	76.8700	70.7400	64.7800	59.0700	53.6900	48.6700	44.0100	39.7000	35.7400	32.1100
SW837_C9_safe_gRNA_R2_DNA	20	80	61+	true	50337604	152.6506	99.1900	97.7400	95.1200	91.4400	86.9800	82.0300	76.8000	71.4800	66.2600	61.2700	56.4800	51.9300	47.6700	43.7000	39.9900
SW837_C9_safe_gRNA_R3_DNA	20	80	51+	true	50337604	147.4645	98.8800	96.3900	92.6400	88.2400	83.5200	78.6100	73.6500	68.7000	63.8300	59.0800	54.4800	50.0900	45.9400	42.0100	38.3600
SW837_C9_uninfected_R1_DNA	20	80	51+	true	50337604	139.8202	99.0500	97.2800	94.1500	89.8400	84.7100	79.1200	73.3400	67.6200	62.0800	56.8200	51.8700	47.2600	42.9600	38.9600	35.2900
SW837_C9_uninfected_R2_DNA	20	80	61+	true	50337604	144.1591	99.0500	97.3900	94.4500	90.3200	85.4300	80.0600	74.4900	68.8700	63.4400	58.2600	53.3600	48.7700	44.4900	40.5300	36.8800
SW837_C9_uninfected_R3_DNA	20	80	51+	true	50337604	144.5636	99.0500	97.1400	93.8900	89.6500	84.7400	79.4800	74.0800	68.6800	63.4700	58.4400	53.6500	49.1500	44.9200	40.9600	37.2700
