sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH	fastq1	fastq2	sample_fqrunid	donor_id
7688STDY14738666	CDS2_Tumour_Cas9_WT_R1_DNA	CDS2_Tumour_Cas9_WT_R1_DNA	ERS18747684	ERP159013	Homo sapiens	afc3a9f71ee7b85a9af696223ef88a86	48839	3	1	10	65961326	308082044	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#10.cram	/seq/illumina/runs/48/48839/lane3/plex10/48839_3#10.cram	/seq/illumina/runs/48/48839/lane3/plex10/48839_3#10.substitution_metrics.txt	1.04	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R1_DNA/CDS2_Tumour_Cas9_WT_R1_DNA_48839_3#10_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R1_DNA/CDS2_Tumour_Cas9_WT_R1_DNA_48839_3#10_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R1_DNA_48839_3#10	CDS2_Tumour_Cas9_WT_R1_DNA
7688STDY14738667	CDS2_Tumour_Cas9_WT_R2_DNA	CDS2_Tumour_Cas9_WT_R2_DNA	ERS18747685	ERP159013	Homo sapiens	8da8735f61fb43c266b78e124d4b3882	48839	3	1	11	65961338	228916506	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#11.cram	/seq/illumina/runs/48/48839/lane3/plex11/48839_3#11.cram	/seq/illumina/runs/48/48839/lane3/plex11/48839_3#11.substitution_metrics.txt	1.6	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R2_DNA/CDS2_Tumour_Cas9_WT_R2_DNA_48839_3#11_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R2_DNA/CDS2_Tumour_Cas9_WT_R2_DNA_48839_3#11_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R2_DNA_48839_3#11	CDS2_Tumour_Cas9_WT_R2_DNA
7688STDY14738670	CDS2_Tumour_Cas9_WT_R3_DNA	CDS2_Tumour_Cas9_WT_R3_DNA	ERS18747688	ERP159013	Homo sapiens	9b16ecda25eebaa50f49f7d0c5f6950e	48839	3	1	14	65961374	290037742	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#14.cram	/seq/illumina/runs/48/48839/lane3/plex14/48839_3#14.cram	/seq/illumina/runs/48/48839/lane3/plex14/48839_3#14.substitution_metrics.txt	1.11	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R3_DNA/CDS2_Tumour_Cas9_WT_R3_DNA_48839_3#14_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R3_DNA/CDS2_Tumour_Cas9_WT_R3_DNA_48839_3#14_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R3_DNA_48839_3#14	CDS2_Tumour_Cas9_WT_R3_DNA
7688STDY14738671	CDS2_Tumour_Cas9_WT_R4_DNA	CDS2_Tumour_Cas9_WT_R4_DNA	ERS18747689	ERP159013	Homo sapiens	1ee2f6ff33417953e5106e2c7618e3b1	48839	3	1	15	65961386	319255668	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#15.cram	/seq/illumina/runs/48/48839/lane3/plex15/48839_3#15.cram	/seq/illumina/runs/48/48839/lane3/plex15/48839_3#15.substitution_metrics.txt	1.26	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R4_DNA/CDS2_Tumour_Cas9_WT_R4_DNA_48839_3#15_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Cas9_WT_R4_DNA/CDS2_Tumour_Cas9_WT_R4_DNA_48839_3#15_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R4_DNA_48839_3#15	CDS2_Tumour_Cas9_WT_R4_DNA
7688STDY14738668	CDS2_Tumour_Non-treated_R1_DNA	CDS2_Tumour_Non-treated_R1_DNA	ERS18747686	ERP159013	Homo sapiens	1b2238cb40bb2f28fb6df29e000ddccd	48839	3	1	12	65961350	246192226	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#12.cram	/seq/illumina/runs/48/48839/lane3/plex12/48839_3#12.cram	/seq/illumina/runs/48/48839/lane3/plex12/48839_3#12.substitution_metrics.txt	1.02	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Non-treated_R1_DNA/CDS2_Tumour_Non-treated_R1_DNA_48839_3#12_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Non-treated_R1_DNA/CDS2_Tumour_Non-treated_R1_DNA_48839_3#12_R2.fastq.gz	CDS2_Tumour_Non-treated_R1_DNA_48839_3#12	CDS2_Tumour_Non-treated_R1_DNA
7688STDY14738672	CDS2_Tumour_Non-treated_R2_DNA	CDS2_Tumour_Non-treated_R2_DNA	ERS18747690	ERP159013	Homo sapiens	e77cad8739512dbe79ef8838569bc95f	48839	3	1	16	65961398	407011004	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#16.cram	/seq/illumina/runs/48/48839/lane3/plex16/48839_3#16.cram	/seq/illumina/runs/48/48839/lane3/plex16/48839_3#16.substitution_metrics.txt	1.25	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Non-treated_R2_DNA/CDS2_Tumour_Non-treated_R2_DNA_48839_3#16_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Non-treated_R2_DNA/CDS2_Tumour_Non-treated_R2_DNA_48839_3#16_R2.fastq.gz	CDS2_Tumour_Non-treated_R2_DNA_48839_3#16	CDS2_Tumour_Non-treated_R2_DNA
7688STDY14738669	CDS2_Tumour_R1_DNA	CDS2_Tumour_R1_DNA	ERS18747687	ERP159013	Homo sapiens	aecdbaec7b1cde495ef2f5b414bc1050	48839	3	1	13	65961362	293641524	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#13.cram	/seq/illumina/runs/48/48839/lane3/plex13/48839_3#13.cram	/seq/illumina/runs/48/48839/lane3/plex13/48839_3#13.substitution_metrics.txt	1.25	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_R1_DNA/CDS2_Tumour_R1_DNA_48839_3#13_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_R1_DNA/CDS2_Tumour_R1_DNA_48839_3#13_R2.fastq.gz	CDS2_Tumour_R1_DNA_48839_3#13	CDS2_Tumour_R1_DNA
7688STDY14738673	CDS2_Tumour_R2_DNA	CDS2_Tumour_R2_DNA	ERS18747692	ERP159013	Homo sapiens	c3d1331fe226e852a1af18c018bf76ef	48839	3	1	17	65961315	348798802	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#17.cram	/seq/illumina/runs/48/48839/lane3/plex17/48839_3#17.cram	/seq/illumina/runs/48/48839/lane3/plex17/48839_3#17.substitution_metrics.txt	1.06	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_R2_DNA/CDS2_Tumour_R2_DNA_48839_3#17_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_R2_DNA/CDS2_Tumour_R2_DNA_48839_3#17_R2.fastq.gz	CDS2_Tumour_R2_DNA_48839_3#17	CDS2_Tumour_R2_DNA
7688STDY14738674	CDS2_Tumour_Treated_R1_DNA	CDS2_Tumour_Treated_R1_DNA	ERS18747693	ERP159013	Homo sapiens	d1aef64c9e2cc01ce819f4e933eea2dd	48839	3	1	18	65961327	233355854	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#18.cram	/seq/illumina/runs/48/48839/lane3/plex18/48839_3#18.cram	/seq/illumina/runs/48/48839/lane3/plex18/48839_3#18.substitution_metrics.txt	2.09	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Treated_R1_DNA/CDS2_Tumour_Treated_R1_DNA_48839_3#18_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Treated_R1_DNA/CDS2_Tumour_Treated_R1_DNA_48839_3#18_R2.fastq.gz	CDS2_Tumour_Treated_R1_DNA_48839_3#18	CDS2_Tumour_Treated_R1_DNA
7688STDY14738675	CDS2_Tumour_Treated_R2_DNA	CDS2_Tumour_Treated_R2_DNA	ERS18747694	ERP159013	Homo sapiens	eb8767a11c2a3725e159de43fce6c593	48839	3	1	19	65961339	273359626	7688	Genetic Effects of CDS2 loss in Uveal Melanoma_WES	/lustre/scratch120/npg_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/bwa0_6/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48839_3#19.cram	/seq/illumina/runs/48/48839/lane3/plex19/48839_3#19.cram	/seq/illumina/runs/48/48839/lane3/plex19/48839_3#19.substitution_metrics.txt	1.38	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Treated_R2_DNA/CDS2_Tumour_Treated_R2_DNA_48839_3#19_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7688_3365_Gen_Effects_CDS2_loss_Uveal_melanoma_WES/fastqs/CDS2_Tumour_Treated_R2_DNA/CDS2_Tumour_Treated_R2_DNA_48839_3#19_R2.fastq.gz	CDS2_Tumour_Treated_R2_DNA_48839_3#19	CDS2_Tumour_Treated_R2_DNA
